date,tweets,pos,neg,neutr,open,high,low,volume,close
2016-07-26,1011,242,96,673,227.69,230,225.3,3430042,229.51
2016-07-27,1060,254,88,718,229.34,233.36,226.92,2889007,228.49
2016-07-28,82,31,3,48,227.95,230.76,226.6,2419059,230.61
2016-07-29,286,67,21,198,230.7,235.28,230.24,3070813,234.79
2016-08-01,1570,309,147,1114,235.5,236.63,229.38,4016284,230.01
2016-08-02,986,267,71,648,229.37,229.87,221.4,3934432,227.2
2016-08-03,1668,453,134,1081,227.37,229.7,224.21,3887759,225.79
2016-08-04,2150,619,246,1285,225.69,230.86,222.05,4146997,230.61
2016-08-05,818,202,106,510,230,232,227.4,3205215,230.03
2016-08-08,701,222,54,425,228,229.6,226.09,2263584,226.16
2016-08-09,725,184,60,481,226.82,231.54,226.65,2207833,229.08
2016-08-10,882,263,79,540,228.24,229.87,224.62,2338301,225.65
2016-08-11,632,152,57,423,226.17,227.57,223.41,1880936,224.91
2016-08-12,641,216,25,400,225.41,226.65,224.04,1813540,225.61
2016-08-15,1096,317,58,721,226.02,229.5,224.93,2034328,225.59
2016-08-16,837,259,62,516,225.49,227.19,223.41,2267147,223.61
2016-08-17,657,183,46,428,224.33,224.83,222.8,1787127,223.24
2016-08-18,609,169,36,404,223.82,225.66,222.29,1714467,223.51
2016-08-19,626,106,30,490,223.54,225.17,222.53,1659530,225
2016-08-22,486,94,39,353,224.17,225.11,222.68,2065493,222.93
2016-08-23,51,19,4,28,224.32,228.49,222.8,4784418,224.84
2016-08-24,40,8,5,27,227.05,227.15,222.22,2570693,222.62
2016-08-25,806,258,49,499,223.11,223.8,220.77,1762519,220.96
2016-08-26,748,251,43,454,222.14,222.86,218.82,2238992,219.99
2016-08-29,675,173,37,465,220.15,220.4,215,3266334,215.2
2016-08-30,694,190,52,452,216.11,216.11,210.52,3168862,211.34
2016-08-31,1002,266,77,659,210.43,212.6,208.65,3276548,212.01
2016-09-01,1592,370,143,1079,209.01,211.1,200.5,7943138,200.77
2016-09-02,1189,301,109,779,202.33,203.2,196.2,5977413,197.78
2016-09-06,715,175,44,496,199.02,203.25,199,4390572,202.83
2016-09-07,1112,312,61,739,205.5,206.5,200.71,3640923,201.71
2016-09-08,94,21,4,69,199.55,199.89,196.36,3377946,197.36
2016-09-09,251,51,33,167,199.09,199.92,193.7,3756992,194.47
2016-09-12,1378,420,80,878,195,201.37,194.1,3715161,198.3
2016-09-13,1113,326,72,715,197.06,198.49,193.45,3589379,196.05
2016-09-14,1086,249,166,671,195.75,197.92,194.86,2259231,196.41
2016-09-15,1203,200,86,917,196.49,202.52,196.4,3085115,200.42
2016-09-16,1285,297,62,926,200.42,205.7,199,3107808,205.4
2016-09-19,874,224,38,612,207,209.43,205,2299498,206.34
2016-09-20,960,243,47,670,206.85,207.75,203.91,2410488,204.64
2016-09-21,928,233,63,632,206.37,207,201.56,2633503,205.22
2016-09-22,886,333,40,513,206.4,207.28,203,2382902,206.43
2016-09-23,831,208,47,576,205.99,210.18,205.67,2905229,207.45
2016-09-26,586,136,27,423,206.5,211,206.5,2394358,208.99
2016-09-27,704,196,53,455,209.65,209.98,204.61,3373180,205.81
2016-09-28,720,134,41,545,207.51,208.25,205.26,2088374,206.27
2016-09-29,991,223,48,720,205.6,207.33,200.58,2727029,200.7
2016-09-30,727,245,43,439,202.21,204.98,199.55,2586273,204.03
2016-10-03,1292,391,78,823,212.3,215.67,208.25,5999892,213.7
2016-10-04,834,269,109,456,213.1,213.32,208.82,3541481,211.41
2016-10-05,609,212,46,351,212.24,213.15,208.12,1877534,208.46
2016-10-06,981,240,108,633,202.46,204.21,200.21,4703402,201
2016-10-07,940,210,43,687,201,201.32,195.8,3493018,196.61
2016-10-10,1134,305,69,760,201.35,204.14,199.66,3316297,200.95
2016-10-11,791,192,49,550,201.85,202.2,198.31,2328422,200.1
2016-10-12,924,327,29,568,200.95,203.88,200.42,1970689,201.51
2016-10-13,785,207,92,486,200.5,200.9,197.05,2495413,200.24
2016-10-14,780,175,41,564,200.66,201.43,196.3,4269850,196.51
2016-10-17,1317,349,84,884,197.05,198.39,192,4554080,193.96
2016-10-18,996,240,65,691,195.99,199.47,193.26,5680475,199.1
2016-10-19,1313,403,82,828,199.74,206.66,198.06,6991183,203.56
2016-10-20,138,43,6,89,202.12,203,197.05,5072877,199.1
2016-10-21,251,50,8,193,198.6,201.57,197.41,2943402,200.09
2016-10-24,944,262,45,637,201,203.95,200.25,2751562,202.76
2016-10-25,953,277,42,634,202.9,204.69,201.2,2445014,202.34
2016-10-26,2105,497,122,1486,201,203.19,200.1,5632841,202.24
2016-10-27,3492,1015,376,2101,211.34,213.7,201.65,13093744,204.01
2016-10-28,961,172,71,718,204,205.32,199.83,4280141,199.97
2016-10-31,897,202,43,652,202.49,202.49,195.81,4692273,197.73
2016-11-01,1166,213,154,799,198.04,198.5,188.1,7060036,190.79
2016-11-02,1384,298,129,957,190.05,192.7,187.5,4253382,188.02
2016-11-03,653,149,49,455,189,191.47,187.04,2653023,187.42
2016-11-04,1212,346,100,766,189,193.46,185.96,5146043,190.56
2016-11-07,877,241,87,549,193.59,194.29,190.05,3870112,193.21
2016-11-08,1146,271,40,835,193.79,197.49,191.26,3267580,194.94
2016-11-09,939,157,87,695,186.88,192,183.95,8173065,190.06
2016-11-10,711,176,61,474,191.05,191.61,180.42,6750341,185.35
2016-11-11,624,159,34,431,184.24,188.88,183,3988504,188.56
2016-11-14,862,170,107,585,188,188.25,178.19,6552205,181.45
2016-11-15,792,172,46,574,182.78,186.43,182.05,3902018,183.77
2016-11-16,717,160,33,524,182.65,184.73,181.21,3434437,183.93
2016-11-17,937,197,62,678,183.49,189.49,182.11,4887067,188.66
2016-11-18,1679,486,148,1045,190.65,193,185,5210347,185.02
2016-11-21,830,157,94,579,185.04,188.89,184.41,4361043,184.52
2016-11-22,1010,317,48,645,185.84,191.47,183.71,5603361,191.17
